
  .   ____          _            __ _ _
 /\\ / ___'_ __ _ _(_)_ __  __ _ \ \ \ \
( ( )\___ | '_ | '_| | '_ \/ _` | \ \ \ \
 \\/  ___)| |_)| | | | | || (_| |  ) ) ) )
2026-07-11T15:07:46.710+08:00 DEBUG 29472 --- [computer] [           main] o.m.s.mapper.ClassPathMapperScanner      : Creating MapperFactoryBean with name 'deliveryOrderMapper' and 'com.upc.computer.mapper.DeliveryOrderMapper' mapperInterface
2026-07-11T15:07:46.712+08:00 DEBUG 29472 --- [computer] [           main] o.m.s.mapper.ClassPathMapperScanner      : Enabling autowire by type for MapperFactoryBean with name 'deliveryOrderMapper'.
2026-07-11T15:07:46.713+08:00 DEBUG 29472 --- [computer] [           main] o.m.s.mapper.ClassPathMapperScanner      : Creating MapperFactoryBean with name 'dispatchTaskMapper' and 'com.upc.computer.mapper.DispatchTaskMapper' mapperInterface
2026-07-11T15:07:46.714+08:00 DEBUG 29472 --- [computer] [           main] o.m.s.mapper.ClassPathMapperScanner      : Enabling autowire by type for MapperFactoryBean with name 'dispatchTaskMapper'.
2026-07-11T15:07:46.714+08:00 DEBUG 29472 --- [computer] [           main] o.m.s.mapper.ClassPathMapperScanner      : Creating MapperFactoryBean with name 'equipmentMaintenanceRecordMapper' and 'com.upc.computer.mapper.EquipmentMaintenanceRecordMapper' mapperInterface
2026-07-11T15:07:46.715+08:00 DEBUG 29472 --- [computer] [           main] o.m.s.mapper.ClassPathMapperScanner      : Enabling autowire by type for MapperFactoryBean with name 'equipmentMaintenanceRecordMapper'.
2026-07-11T15:07:46.715+08:00 DEBUG 29472 --- [computer] [           main] o.m.s.mapper.ClassPathMapperScanner      : Creating MapperFactoryBean with name 'equipmentMapper' and 'com.upc.computer.mapper.EquipmentMapper' mapperInterface
2026-07-11T15:07:46.716+08:00 DEBUG 29472 --- [computer] [           main] o.m.s.mapper.ClassPathMapperScanner      : Enabling autowire by type for MapperFactoryBean with name 'equipmentMapper'.
2026-07-11T15:07:46.717+08:00 DEBUG 29472 --- [computer] [           main] o.m.s.mapper.ClassPathMapperScanner      : Creating MapperFactoryBean with name 'inventoryBarcodeMapper' and 'com.upc.computer.mapper.InventoryBarcodeMapper' mapperInterface
2026-07-11T15:07:46.717+08:00 DEBUG 29472 --- [computer] [           main] o.m.s.mapper.ClassPathMapperScanner      : Enabling autowire by type for MapperFactoryBean with name 'inventoryBarcodeMapper'.
2026-07-11T15:07:46.718+08:00 DEBUG 29472 --- [computer] [           main] o.m.s.mapper.ClassPathMapperScanner      : Creating MapperFactoryBean with name 'inventoryMapper' and 'com.upc.computer.mapper.InventoryMapper' mapperInterface
2026-07-11T15:07:46.719+08:00 DEBUG 29472 --- [computer] [           main] o.m.s.mapper.ClassPathMapperScanner      : Enabling autowire by type for MapperFactoryBean with name 'inventoryMapper'.
2026-07-11T15:07:46.720+08:00 DEBUG 29472 --- [computer] [           main] o.m.s.mapper.ClassPathMapperScanner      : Creating MapperFactoryBean with name 'inventoryScanLogMapper' and 'com.upc.computer.mapper.InventoryScanLogMapper' mapperInterface
2026-07-11T15:07:46.720+08:00 DEBUG 29472 --- [computer] [           main] o.m.s.mapper.ClassPathMapperScanner      : Enabling autowire by type for MapperFactoryBean with name 'inventoryScanLogMapper'.
2026-07-11T15:07:46.721+08:00 DEBUG 29472 --- [computer] [           main] o.m.s.mapper.ClassPathMapperScanner      : Creating MapperFactoryBean with name 'inventoryTransactionMapper' and 'com.upc.computer.mapper.InventoryTransactionMapper' mapperInterface
2026-07-11T15:07:46.722+08:00 DEBUG 29472 --- [computer] [           main] o.m.s.mapper.ClassPathMapperScanner      : Enabling autowire by type for MapperFactoryBean with name 'inventoryTransactionMapper'.
2026-07-11T15:07:46.723+08:00 DEBUG 29472 --- [computer] [           main] o.m.s.mapper.ClassPathMapperScanner      : Creating MapperFactoryBean with name 'materialBatchMapper' and 'com.upc.computer.mapper.MaterialBatchMapper' mapperInterface
2026-07-11T15:07:46.724+08:00 DEBUG 29472 --- [computer] [           main] o.m.s.mapper.ClassPathMapperScanner      : Enabling autowire by type for MapperFactoryBean with name 'materialBatchMapper'.
2026-07-11T15:07:46.725+08:00 DEBUG 29472 --- [computer] [           main] o.m.s.mapper.ClassPathMapperScanner      : Creating MapperFactoryBean with name 'materialMapper' and 'com.upc.computer.mapper.MaterialMapper' mapperInterface
2026-07-11T15:07:46.728+08:00 DEBUG 29472 --- [computer] [           main] o.m.s.mapper.ClassPathMapperScanner      : Enabling autowire by type for MapperFactoryBean with name 'materialMapper'.
2026-07-11T15:07:46.729+08:00 DEBUG 29472 --- [computer] [           main] o.m.s.mapper.ClassPathMapperScanner      : Creating MapperFactoryBean with name 'nonconformingProductMapper' and 'com.upc.computer.mapper.NonconformingProductMapper' mapperInterface
2026-07-11T15:07:46.730+08:00 DEBUG 29472 --- [computer] [           main] o.m.s.mapper.ClassPathMapperScanner      : Enabling autowire by type for MapperFactoryBean with name 'nonconformingProductMapper'.
2026-07-11T15:07:46.731+08:00 DEBUG 29472 --- [computer] [           main] o.m.s.mapper.ClassPathMapperScanner      : Creating MapperFactoryBean with name 'operationLogMapper' and 'com.upc.computer.mapper.OperationLogMapper' mapperInterface
2026-07-11T15:07:46.732+08:00 DEBUG 29472 --- [computer] [           main] o.m.s.mapper.ClassPathMapperScanner      : Enabling autowire by type for MapperFactoryBean with name 'operationLogMapper'.
2026-07-11T15:07:46.732+08:00 DEBUG 29472 --- [computer] [           main] o.m.s.mapper.ClassPathMapperScanner      : Creating MapperFactoryBean with name 'permissionMapper' and 'com.upc.computer.mapper.PermissionMapper' mapperInterface
2026-07-11T15:07:46.733+08:00 DEBUG 29472 --- [computer] [           main] o.m.s.mapper.ClassPathMapperScanner      : Enabling autowire by type for MapperFactoryBean with name 'permissionMapper'.
